Product Name,Original Price,Clearance Price,Percentage Off,Product Category,Product Code,Rating,Link
Bluehive 4-port Power Station,51.99,12.93,75.0,car-care-accessories,035-5304-6,4.0,https://www.canadiantire.ca/en/pdp/bluehive-4-port-power-station-0355304p.html#srp
"Greenies Original Teenie Oral Care Dental Dog Treats, 170-g",9.99,6.43,36.0,pet-care,142-5662-6,4.5,https://www.canadiantire.ca/en/pdp/greenies-original-teenie-oral-care-dental-dog-treats-170-g-1425662p.html#srp
"Chrome Clearance Light, Amber",7.99,3.93,51.0,automotive-outdoor-adventure,020-3409-4,2.5,https://www.canadiantire.ca/en/pdp/chrome-clearance-light-amber-0203409p.html#srp
"Chrome Clearance Light, Red",7.99,3.93,51.0,automotive-outdoor-adventure,020-3410-8,0.0,https://www.canadiantire.ca/en/pdp/chrome-clearance-light-red-0203410p.html#srp
"Vida by PADERNO Everyday Series Non-Stick Cookware Set, PFOA-Free, Oven Safe, Black, 10-pc",499.99,89.93,82.0,kitchen,142-6306-0,4.0,https://www.canadiantire.ca/en/pdp/vida-by-paderno-everyday-series-non-stick-cookware-set-pfoa-free-oven-safe-black-10-pc-1426306p.html#srp
Amber Cab Marker,7.29,0.93,87.0,automotive-outdoor-adventure,020-3472-0,0.0,https://www.canadiantire.ca/en/pdp/amber-cab-marker-0203472p.html#srp
"For Living Plateau Tank-In Outdoor Fire Pit Table, 40,000 BTU",489.99,199.99,59.0,backyard-living,085-1570-4,3.9,https://www.canadiantire.ca/en/pdp/for-living-plateau-tank-in-outdoor-fire-pit-table-40-000-btu-0851570p.html#srp
"Outbound Kids Cove Closed Toe Hiking Shoes/Sandals with Durable Outsole, Grey/Green",39.99,14.93,63.0,footwear-apparel,187-2778X,3.7,https://www.canadiantire.ca/en/pdp/outbound-kids-cove-closed-toe-hiking-shoes-sandals-with-durable-outsole-grey-green-1872778p.html#srp
"Technoform Laundry Tub Conversion Kit, Black",28.99,4.93,83.0,plumbing,063-9885-0,0.0,https://www.canadiantire.ca/en/pdp/technoform-laundry-tub-conversion-kit-black-0639885p.html#srp
Coleman Cookout 4-Burner Propane Gas BBQ Grill with Side Burner & Storage Shelves,589.99,374.99,36.0,backyard-living,085-3182-6,3.4,https://www.canadiantire.ca/en/pdp/coleman-cookout-4-burner-propane-gas-bbq-grill-with-side-burner-storage-shelves-0853182p.html#srp
"Klassen Garage Sale Sign, 9 x 12-in",4.99,0.43,91.0,hardware,046-3122-4,0.0,https://www.canadiantire.ca/en/pdp/klassen-garage-sale-sign-9-x-12-in-0463122p.html#srp
"Klassen For Sale By Owner Sign, 9 x 12-in",4.99,0.43,91.0,hardware,046-3121-6,0.0,https://www.canadiantire.ca/en/pdp/klassen-for-sale-by-owner-sign-9-x-12-in-0463121p.html#srp
"Klassen For Sale Inquire Sign, 8 x 12-in",2.19,0.23,89.0,hardware,046-3117-8,0.0,https://www.canadiantire.ca/en/pdp/klassen-for-sale-inquire-sign-8-x-12-in-0463117p.html#srp
"Hillman 851808 Low Done Floor Door Stop, Assorted Finishes, 1-pk",,5.99,,,046-1854X,3.4,https://www.canadiantire.ca/en/pdp/hillman-851808-low-done-floor-door-stop-assorted-finishes-1-pk-0461853p.html#srp
"CANVAS UV-Protected Fabric Outdoor/Patio Market Umbrella w/ Crank Handle, 9-ft",,89.99,,backyard-living,088-0586X,4.2,https://www.canadiantire.ca/en/pdp/canvas-uv-protected-fabric-outdoor-patio-market-umbrella-w-crank-handle-9-ft-0880586p.html#srp
"HydroForce™ Pro Max Round Steel Frame Swimming Pool, 15-ft x 48-in",799.99,549.99,31.0,backyard-fun,081-4285-4,3.5,https://www.canadiantire.ca/en/pdp/hydroforce-pro-max-round-steel-frame-swimming-pool-15-ft-x-48-in-0814285p.html#srp
"CANVAS Renfrew Square Outdoor Patio Conversation Dining Set w/UV-Resistant Cushions, 3-pc",1499.99,974.99,35.0,backyard-living,088-2040-4,3.8,https://www.canadiantire.ca/en/pdp/canvas-renfrew-square-outdoor-patio-conversation-dining-set-w-uv-resistant-cushions-3-pc-0882040p.html#srp
"Bestway Hydro-Force Aqua Journey Inflatable Stand Up Paddle Board, 9-ft",649.99,,,seasonal-recreation,079-2041-4,3.9,https://www.canadiantire.ca/en/pdp/bestway-hydro-force-aqua-journey-inflatable-stand-up-paddle-board-9-ft-0792041p.html#srp
"CANVAS Skyline Taupe Steel & Aluminum Outdoor Patio Hard-Top Gazebo w/Mosquito Net, 10x10-ft",1299.99,999.99,23.0,backyard-living,088-2258-8,4.2,https://www.canadiantire.ca/en/pdp/canvas-skyline-taupe-steel-aluminum-outdoor-patio-hard-top-gazebo-w-mosquito-net-10x10-ft-0882258p.html#srp
"JumpTek Outdoor Round Trampoline with Safety Enclosure Set, 14-ft",579.99,349.99,40.0,backyard-fun,084-6692-6,4.1,https://www.canadiantire.ca/en/pdp/jumptek-outdoor-round-trampoline-with-safety-enclosure-set-14-ft-0846692p.html#srp
"CANVAS Skyline Outdoor Patio Hard-Top Gazebo w/ Bug Net, for All-Season, Black, 12x14-ft",1899.99,1499.99,21.0,backyard-living,088-2279-8,4.1,https://www.canadiantire.ca/en/pdp/canvas-skyline-outdoor-patio-hard-top-gazebo-w-bug-net-for-all-season-black-12x14-ft-0882279p.html#srp
"For Living Bluebay Sling Steel Outdoor Patio Accent Chair, Grey, 29x24x40-in",47.99,29.49,39.0,backyard-living,088-1777-8,4.4,https://www.canadiantire.ca/en/pdp/for-living-bluebay-sling-steel-outdoor-patio-accent-chair-grey-29x24x40-in-0881777p.html#srp
CANVAS Baffin All-Weather Wicker Outdoor/Patio Conversation Set w/Custom Fit Cover,1699.99,,,backyard-living,088-2273-0,4.3,https://www.canadiantire.ca/en/pdp/canvas-baffin-all-weather-wicker-outdoor-patio-conversation-set-w-custom-fit-cover-0882273p.html#srp
"For Living Portable Propane Gas Outdoor Fire Bowl/Fire Pit, 54,000 BTU",189.99,119.99,37.0,backyard-living,085-1296-8,4.5,https://www.canadiantire.ca/en/pdp/for-living-portable-propane-gas-outdoor-fire-bowl-fire-pit-54-000-btu-0851296p.html#srp
"CANVAS Moraine All-Weather Wicker Outdoor/Patio Sectional Set, UV-Resistant Cushions, 5-pc",2499.99,1624.99,35.0,backyard-living,088-0542-2,4.7,https://www.canadiantire.ca/en/pdp/canvas-moraine-all-weather-wicker-outdoor-patio-sectional-set-uv-resistant-cushions-5-pc-0880542p.html#srp
CANVAS Breton All-Weather Wicker Outdoor Patio Armchair,349.99,239.99,31.0,backyard-living,088-2184-2,4.1,https://www.canadiantire.ca/en/pdp/canvas-breton-all-weather-wicker-outdoor-patio-armchair-0882184p.html#srp
"Coleman® Rattan Round Steel Frame Swimming Pool with Ladder, 18-ft x 52-in",1399.99,1049.99,25.0,backyard-fun,081-3919-4,2.8,https://www.canadiantire.ca/en/pdp/coleman-rattan-round-steel-frame-swimming-pool-with-ladder-18-ft-x-52-in-0813919p.html#srp
Coleman Cookout 3-Burner Propane Gas BBQ Grill with Side & Storage Shelves,489.99,299.99,39.0,backyard-living,085-3181-8,3.9,https://www.canadiantire.ca/en/pdp/coleman-cookout-3-burner-propane-gas-bbq-grill-with-side-storage-shelves-0853181p.html#srp
CANVAS Bala Rectangle Outdoor Patio Sectional Lounger Chair w/UV-Resistant Cushions,399.99,269.99,33.0,backyard-living,088-2043-8,4.3,https://www.canadiantire.ca/en/pdp/canvas-bala-rectangle-outdoor-patio-sectional-lounger-chair-w-uv-resistant-cushions-0882043p.html#srp
"The Floater Floating Lake Multiple-Person Water Mat, Yellow/Blue",699.99,499.99,29.0,seasonal-recreation,079-7107-0,4.6,https://www.canadiantire.ca/en/pdp/the-floater-floating-lake-multiple-person-water-mat-yellow-blue-0797107p.html#srp
"CANVAS Collingwood Outdoor/Patio Hard-Top Gazebo, 10-ft x 12-ft",1999.99,1599.99,20.0,backyard-living,088-2022-8,4.2,https://www.canadiantire.ca/en/pdp/canvas-collingwood-outdoor-patio-hard-top-gazebo-10-ft-x-12-ft-0882022p.html#srp
"For Living Table Top Propane Gas Outdoor Fire Bowl/ Fire Pit, 10,000 BTU, 1-lb",119.99,94.99,21.0,backyard-living,085-1591-4,4.2,https://www.canadiantire.ca/en/pdp/for-living-table-top-propane-gas-outdoor-fire-bowl-fire-pit-10-000-btu-1-lb-0851591p.html#srp
"Yardworks Dry Seal Heavy-Duty PVC Garden Hose with Crush-Resistant Coupling, 5/8-inx80-ft",74.99,34.93,53.0,outdoor-tools,059-4297-2,2.9,https://www.canadiantire.ca/en/pdp/yardworks-dry-seal-heavy-duty-pvc-garden-hose-with-crush-resistant-coupling-5-8-inx80-ft-0594297p.html#srp
"Performix Plasti Dip® Multi-Purpose Rubber Coating Aerosol Spray, 311-g",,25.99,,paint,048-2222X,4.4,https://www.canadiantire.ca/en/pdp/performix-plasti-dip-multi-purpose-rubber-coating-aerosol-spray-311-g-0482222p.html#srp
"For Living Tuscan Propane Gas Outdoor Fire Pit Table, 50,000 BTU",459.99,344.99,25.0,backyard-living,085-1571-2,4.0,https://www.canadiantire.ca/en/pdp/for-living-tuscan-propane-gas-outdoor-fire-pit-table-50-000-btu-0851571p.html#srp
"NOMA Outdoor Photocell Timer, Dusk to Dawn Sensor with Countdown, 1 Grounded Outlet, Black",19.49,7.43,62.0,electrical,052-8819-2,4.4,https://www.canadiantire.ca/en/pdp/noma-outdoor-photocell-timer-dusk-to-dawn-sensor-with-countdown-1-grounded-outlet-black-0528819p.html#srp
"Nespresso Vertuo Next Coffee & Espresso Machine Bundle by DeLonghi, White",299.99,,,kitchen,043-2791-2,4.1,https://www.canadiantire.ca/en/pdp/nespresso-vertuo-next-coffee-espresso-machine-bundle-by-delonghi-white-0432791p.html#srp
"DEWALT DCF787C1 20V MAX Brushless Cordless Impact Driver Kit with Battery & Charger, 1/4-in",249.99,149.99,40.0,tools,054-2236-0,4.6,https://www.canadiantire.ca/en/pdp/dewalt-dcf787c1-20v-max-brushless-cordless-impact-driver-kit-with-battery-charger-1-4-in-0542236p.html#srp
"Solignum Marine Interior/Exterior Alkyd Enamel Paint, High-Gloss, 3.78-L/1-Gallon",60.99,,,paint,048-9705X,4.0,https://www.canadiantire.ca/en/pdp/solignum-marine-interior-exterior-alkyd-enamel-paint-high-gloss-3-78-l-1-gallon-0489705p.html#srp
"Napoleon TravelQ 240 Portable Propane Tabletop BBQ Grill, Graphite Grey, Stainless Steel Burner, Cast Iron Grids, Ideal for Camping",,179.93,,backyard-living,399-8539-4,4.3,https://www.canadiantire.ca/en/pdp/napoleon-travelq-240-portable-propane-tabletop-bbq-grill-graphite-grey-stainless-steel-burner-cast-iron-grids-ideal-for-camping-3998539p.html#srp
"For Living Olympia Reversible 5-Blade 3-Speed Ceiling Fan with Lighting & Remote, 52-in, Wench Wood/Cherry",219.99,84.93,61.0,home-decor,052-2230-6,3.9,https://www.canadiantire.ca/en/pdp/for-living-olympia-reversible-5-blade-3-speed-ceiling-fan-with-lighting-remote-52-in-wench-wood-cherry-0522230p.html#srp
"CANVAS Rideau Outdoor/Patio Dining set w/ Fire Pit Table, 5-pc",1999.99,1399.99,30.0,backyard-living,088-0538-4,3.5,https://www.canadiantire.ca/en/pdp/canvas-rideau-outdoor-patio-dining-set-w-fire-pit-table-5-pc-0880538p.html#srp
"Bestway Charcter Inflatable Pool with Shade, Assorted, 3 x 26-in",39.99,19.93,50.0,backyard-fun,081-3442-6,5.0,https://www.canadiantire.ca/en/pdp/bestway-charcter-inflatable-pool-with-shade-assorted-3-x-26-in-0813442p.html#srp
"Canvas Breton Outdoor Fire Pit Table 40,000 BTU",599.99,419.99,30.0,backyard-living,085-1592-2,4.4,https://www.canadiantire.ca/en/pdp/canvas-breton-outdoor-fire-pit-table-40-000-btu-0851592p.html#srp
"Canvas Wallace Square Outdoor Tabletop Fire Bowl/Fire Pit, 40,000 BTU",269.99,189.99,30.0,backyard-living,085-1553-6,4.0,https://www.canadiantire.ca/en/pdp/canvas-wallace-square-outdoor-tabletop-fire-bowl-fire-pit-40-000-btu-0851553p.html#srp
"PowerBilt Ace Spikeless Mens Golf Shoes, Assorted Sizes, Black/Grey",79.99,32.93,59.0,team-sports-and-golf,089-1528X,3.9,https://www.canadiantire.ca/en/pdp/powerbilt-ace-spikeless-men-s-golf-shoes-assorted-sizes-black-grey-0891528p.html#srp
Dirt Devil FeatherLite Cyclonic Lightweight Bagless Canister Vacuum Cleaner,159.99,69.99,56.0,cleaning,043-8498-6,3.4,https://www.canadiantire.ca/en/pdp/dirt-devil-featherlite-cyclonic-lightweight-bagless-canister-vacuum-cleaner-0438498p.html#srp
"CANVAS Coventry Hills Round Aluminum Outdoor/Patio Dining Table, Brown",399.99,199.93,50.0,backyard-living,088-2033-2,4.3,https://www.canadiantire.ca/en/pdp/canvas-coventry-hills-round-aluminum-outdoor-patio-dining-table-brown-0882033p.html#srp
"Tiki Clean Burn Citronella Torch Fuel, 946-mL",13.99,9.43,33.0,gardening,059-0881-4,4.8,https://www.canadiantire.ca/en/pdp/tiki-clean-burn-citronella-torch-fuel-946-ml-0590881p.html#srp
Banzai Kids Twist N Turn Challenge Splash Pad Sprinkler Water Game w/ Mat & Dice Age 8+,20.99,9.93,53.0,toys,050-6260-4,2.8,https://www.canadiantire.ca/en/pdp/banzai-kids-twist-n-turn-challenge-splash-pad-sprinkler-water-game-w-mat-dice-age-8-0506260p.html#srp
"Watkins Great Outdoors 30% DEET Mosquito/Insect Repellent Lotion, travel size, 45-mL",5.99,3.93,34.0,gardening,159-1458-0,4.5,https://www.canadiantire.ca/en/pdp/watkins-great-outdoors-30-deet-mosquito-insect-repellent-lotion-travel-size-45-ml-1591458p.html#srp
"Shakespeare Amphibian Youth Spincast Fishing Rod and Reel Combo, Pre-Spooled, Medium, 5.5-ft, 2-pc",44.99,24.93,45.0,fishing,077-5358-8,3.9,https://www.canadiantire.ca/en/pdp/shakespeare-amphibian-youth-spincast-fishing-rod-and-reel-combo-pre-spooled-medium-5-5-ft-2-pc-0775358p.html#srp
Adams Polishes Canadian Tire 100th Anniversary Special Edition Car Detailing Kit,,24.93,,car-care-accessories,399-8699-2,5.0,https://www.canadiantire.ca/en/pdp/adam-s-polishes-canadian-tire-100th-anniversary-special-edition-car-detailing-kit-3998699p.html#srp
MotoMaster Winter Edge Tire For Passenger & CUV,,134.99,,tires,004-4904X,4.3,https://www.canadiantire.ca/en/pdp/motomaster-winter-edge-tire-for-passenger-cuv-0044904p.html#srp
Stella & Finn Inflatable Rainbow Baby & Toddler Spray Pool with Canopy,34.99,14.93,57.0,backyard-fun,081-3447-6,3.2,https://www.canadiantire.ca/en/pdp/stella-finn-inflatable-rainbow-baby-toddler-spray-pool-with-canopy-0813447p.html#srp
Thermacell 6.5-Hour DEET-Free Radius Zone Mosquito/Insect Repellent,69.99,34.93,50.0,gardening,059-1286-6,3.6,https://www.canadiantire.ca/en/pdp/thermacell-6-5-hour-deet-free-radius-zone-mosquito-insect-repellent-0591286p.html#srp
"Philips Sonicare Essential Clean Rechargeable Electric Toothbrush with Travel Case, Black",89.99,39.93,56.0,personal-garment-care,043-8686-8,4.5,https://www.canadiantire.ca/en/pdp/philips-sonicare-essential-clean-rechargeable-electric-toothbrush-with-travel-case-black-0438686p.html#srp
"Mastercraft 4-Ply Replacement Wheelbarrow Tire for 060-0512, 10-in",24.99,11.93,52.0,hardware,060-0509-8,4.0,https://www.canadiantire.ca/en/pdp/mastercraft-4-ply-replacement-wheelbarrow-tire-for-060-0512-10-in-0600509p.html#srp
K&N High-Flow Replacement Air Filter,,16.49,,light-auto-parts,027-5574X,4.7,https://www.canadiantire.ca/en/pdp/k-n-high-flow-replacement-air-filter-0341200p.html#srp
"Spalding Rookie Gear Kids Portable Adjustable Basketball Backboard, Hoop & Net System, 32-in, Age 4+",199.99,119.93,40.0,team-sports-and-golf,084-4894-8,2.6,https://www.canadiantire.ca/en/pdp/spalding-rookie-gear-kids-portable-adjustable-basketball-backboard-hoop-net-system-32-in-age-4-0844894p.html#srp
"NOMA Gideon Reversible 3-Blade 3-Speed Ceiling Fan with Lighting, 42-in, Walnut/Brown Oak",174.99,86.93,50.0,home-decor,052-9139-4,3.6,https://www.canadiantire.ca/en/pdp/noma-gideon-reversible-3-blade-3-speed-ceiling-fan-with-lighting-42-in-walnut-brown-oak-0529139p.html#srp
"NOMA Outdoor Warm White 20-200 LM LED Solar Motion Sensor Post Fence Light, 4x4-in",24.99,14.93,40.0,backyard-living,052-1688-4,3.2,https://www.canadiantire.ca/en/pdp/noma-outdoor-warm-white-20-200-lm-led-solar-motion-sensor-post-fence-light-4x4-in-0521688p.html#srp
LG CordZero™ A9 Cordless Stick Vacuum,699.99,499.93,29.0,cleaning,043-9488-4,4.6,https://www.canadiantire.ca/en/pdp/lg-cordzero-a9-cordless-stick-vacuum-0439488p.html#srp
"Armor Coat Interior/Exterior Rust Paint, Durable Finish w/Protection, 946-mL/1-qt",,16.99,,paint,048-2530X,4.5,https://www.canadiantire.ca/en/pdp/armor-coat-interior-exterior-rust-paint-durable-finish-w-protection-946-ml-1-qt-0489113p.html#srp
"Bond Powder-Coated Steel Propane Gas Outdoor Patio Heater, 46,000 BTU",229.99,139.99,39.0,backyard-living,085-1593-0,3.3,https://www.canadiantire.ca/en/pdp/bond-powder-coated-steel-propane-gas-outdoor-patio-heater-46-000-btu-0851593p.html#srp
Airhead Super Pump 120V HIgh Volume High Pressure Inflator/Deflator,79.99,47.93,40.0,seasonal-recreation,079-7147-4,4.2,https://www.canadiantire.ca/en/pdp/airhead-super-pump-120v-high-volume-high-pressure-inflator-deflator-0797147p.html#srp
"Philips Sonicare Essential Clean Rechargeable Electric Toothbrush with Travel Case, White",89.99,39.93,56.0,personal-garment-care,043-8685-0,4.5,https://www.canadiantire.ca/en/pdp/philips-sonicare-essential-clean-rechargeable-electric-toothbrush-with-travel-case-white-0438685p.html#srp
"Outdoor Gel Fuel, 369-g",7.99,3.93,51.0,backyard-living,059-1382-6,4.5,https://www.canadiantire.ca/en/pdp/outdoor-gel-fuel-369-g-0591382p.html#srp
"Rust-Oleum® Universal All Surface Aerosol Spray Paint & Primer, Metallic, 312-g",,22.99,,paint,048-2321X,4.1,https://www.canadiantire.ca/en/pdp/rust-oleum-universal-all-surface-aerosol-spray-paint-primer-metallic-312-g-0482321p.html#srp
"Core Home Reusable Nylon Shopping Food Storage Bags Holds Up to 35lbs, 3-pk",19.99,6.93,65.0,kitchen,142-9242-2,4.5,https://www.canadiantire.ca/en/pdp/core-home-reusable-nylon-shopping-food-storage-bags-holds-up-to-35lbs-3-pk-1429242p.html#srp
"Outbound Mens Repton Mid-Cut Durable Lightweight Hiking Boots, Brown",99.99,44.93,55.0,footwear-apparel,187-3202X,4.2,https://www.canadiantire.ca/en/pdp/outbound-men-s-repton-mid-cut-durable-lightweight-hiking-boots-brown-1873202p.html#srp
MotoMaster Total Terrain APX All Season Tire For Truck & SUV,,190.99,,tires,006-3500X,4.3,https://www.canadiantire.ca/en/pdp/motomaster-total-terrain-apx-all-season-tire-for-truck-suv-0063500p.html#srp
"Altra Canmore Mens CSA Canadian-Made Waterproof Steel Toe Rubber Work Boots, Black",79.99,49.93,38.0,footwear-apparel,187-2525X,3.5,https://www.canadiantire.ca/en/pdp/altra-canmore-men-s-csa-canadian-made-waterproof-steel-toe-rubber-work-boots-black-1872525p.html#srp
"Sugru Mouldable Glue, 5-g, 3-pk",16.49,9.93,40.0,paint,067-1073X,3.9,https://www.canadiantire.ca/en/pdp/sugru-mouldable-glue-5-g-3-pk-0671073p.html#srp
"Machine Wash Cotton Absorbent Washcloth, with Hanging Loop, 12 x 12-in5-pk",4.99,2.93,41.0,home-decor,063-6305-0,4.6,https://www.canadiantire.ca/en/pdp/machine-wash-cotton-absorbent-washcloth-with-hanging-loop-12-x-12-in5-pk-0636305p.html#srp
Bluehive UV Phone Sanitizer,59.99,14.93,75.0,car-care-accessories,035-5423-2,3.7,https://www.canadiantire.ca/en/pdp/bluehive-uv-phone-sanitizer-0355423p.html#srp
"For Living Loft Knob Café Adjustable Steel Curtain Rod, Nickel, Assorted Sizes, 1/2-in diameter",21.99,12.93,41.0,home-decor,046-7362X,4.6,https://www.canadiantire.ca/en/pdp/for-living-loft-knob-cafe-adjustable-steel-curtain-rod-nickel-assorted-sizes-1-2-in-diameter-0467362p.html#srp
"Certified 90 Lumens LED Aluminum Handheld Flashlight, Batteries Included, Assorted Colours",4.99,1.73,65.0,hardware,065-1744-0,5.0,https://www.canadiantire.ca/en/pdp/certified-90-lumens-led-aluminum-handheld-flashlight-batteries-included-assorted-colours-0651744p.html#srp
Body Glove Infant Nylon PFD/Life Jacket,59.99,29.93,50.0,seasonal-recreation,079-2022-0,3.1,https://www.canadiantire.ca/en/pdp/body-glove-infant-nylon-pfd-life-jacket-0792022p.html#srp
"National Concord Indoor/Outdoor Mat with Bonus Platinum Mat, Black, 2-pk",,16.99,,home-decor,399-4171-0,4.4,https://www.canadiantire.ca/en/pdp/national-concord-indoor-outdoor-mat-with-bonus-platinum-mat-black-2-pk-3994171p.html#srp
"Alcan Ultimate BBQ Buddy® Non-Stick Aluminum Grilling Trays, 9-in x 13-in, 10-pk",11.99,6.93,42.0,home-essentials,153-1226-4,4.8,https://www.canadiantire.ca/en/pdp/alcan-ultimate-bbq-buddy-non-stick-aluminum-grilling-trays-9-in-x-13-in-10-pk-1531226p.html#srp
Mastercraft Backup Pump Battery,199.99,129.93,35.0,plumbing,062-3503-8,2.6,https://www.canadiantire.ca/en/pdp/mastercraft-backup-pump-battery-0623503p.html#srp
"Nutri Ninja® Tritan™ Cups w/ Sip & Seal® Lids For Blenders, BPA-Free, 24mL, 2-pk",29.99,19.93,34.0,kitchen,043-8242-4,3.6,https://www.canadiantire.ca/en/pdp/nutri-ninja-tritan-cups-w-sip-seal-lids-for-blenders-bpa-free-24ml-2-pk-0438242p.html#srp
"Woods Outdoor Digital Timer, 8 Program settings, 2 Grounded Outlets, Black",30.99,,,electrical,052-9209-8,3.5,https://www.canadiantire.ca/en/pdp/woods-outdoor-digital-timer-8-program-settings-2-grounded-outlets-black-0529209p.html#srp
Briggs & Stratton 5000/6500 Watt QuietPower™ Series Inverter Portable Generator with CO Guard,1999.99,1499.93,25.0,outdoor-tools,055-0372-4,3.0,https://www.canadiantire.ca/en/pdp/briggs-stratton-5000-6500-watt-quietpower-series-inverter-portable-generator-with-co-guard-0550372p.html#srp
"Instant Pot® Large Mesh Steamer Basket, Stainless Steel, 6-8qt",19.99,12.93,35.0,kitchen,043-8235-2,4.8,https://www.canadiantire.ca/en/pdp/instant-pot-large-mesh-steamer-basket-stainless-steel-6-8qt-0438235p.html#srp
Thinkware Q800PRO Dash Cam with GPS & Wi-Fi,399.99,239.93,40.0,car-care-accessories,035-0706-0,4.4,https://www.canadiantire.ca/en/pdp/thinkware-q800pro-dash-cam-with-gps-wi-fi-0350706p.html#srp
"Canvas Langford Double Door Single Sink Marble Top Bathroom Vanity, Navy, 24-in",499.99,219.93,56.0,plumbing,063-6420-4,3.0,https://www.canadiantire.ca/en/pdp/canvas-langford-double-door-single-sink-marble-top-bathroom-vanity-navy-24-in-0636420p.html#srp
"Outbound Kids Waterproof Flower Rubber Rain Boots,Blue/White/Pink, Sizes 11-3",28.99,13.93,52.0,footwear-apparel,187-2258X,4.5,https://www.canadiantire.ca/en/pdp/outbound-kids-waterproof-flower-rubber-rain-boots-blue-white-pink-sizes-11-3-1872258p.html#srp
"Fanatic Brighton Reversible 5-Blade 3-Speed Ceiling Fan with LED Lighting, 52-in, Maple/Walnut",249.99,99.93,60.0,home-decor,052-9258-0,3.0,https://www.canadiantire.ca/en/pdp/fanatic-brighton-reversible-5-blade-3-speed-ceiling-fan-with-led-lighting-52-in-maple-walnut-0529258p.html#srp
"Outbound Kids Cove Closed Toe Hiking Shoes/Sandals with Durable Outsole, Grey/Pink",39.99,14.93,63.0,footwear-apparel,187-2773X,4.0,https://www.canadiantire.ca/en/pdp/outbound-kids-cove-closed-toe-hiking-shoes-sandals-with-durable-outsole-grey-pink-1872773p.html#srp
"Canada Day 60-in Bamboo Tiki Mosquito/Insect Repellent Torch, Red",,6.43,,gardening,299-1924-6,3.8,https://www.canadiantire.ca/en/pdp/canada-day-60-in-bamboo-tiki-mosquito-insect-repellent-torch-red-2991924p.html#srp
ProForm Studio Pro C22 Indoor Cycling Stationary/Exercise/Spin Bike with Smart HD Touchscreen - iFit Enabled,1999.99,999.93,50.0,exercise,184-0976-0,4.4,https://www.canadiantire.ca/en/pdp/proform-studio-pro-c22-indoor-cycling-stationary-exercise-spin-bike-with-smart-hd-touchscreen-ifit-enabled-1840976p.html#srp
"CANVAS Performance Cotton Absorbent Bath Towel, Assorted Colours, 54 x 30-in",,11.99,,home-decor,063-8729X,4.7,https://www.canadiantire.ca/en/pdp/canvas-performance-cotton-absorbent-bath-towel-assorted-colours-54-x-30-in-0638741p.html#srp
"Womens Waterproof Polka Dot Rubber Rain Boots, Durable Outsole, Black with White Dots",46.99,22.93,51.0,footwear-apparel,187-0141X,4.5,https://www.canadiantire.ca/en/pdp/women-s-waterproof-polka-dot-rubber-rain-boots-durable-outsole-black-with-white-dots-1870141p.html#srp
"Heritage The Rock Stainless Steel Frying Pan, PFOA-Free, Non-stick, Dishwasher & Oven Safe",,99.99,,kitchen,142-2613X,4.0,https://www.canadiantire.ca/en/pdp/heritage-the-rock-stainless-steel-frying-pan-pfoa-free-non-stick-dishwasher-oven-safe-1422615p.html#srp
"Tremclad Water-Based Rust Paint, 3.78-L",124.99,69.93,44.0,paint,048-9249X,2.4,https://www.canadiantire.ca/en/pdp/tremclad-water-based-rust-paint-3-78-l-0489249p.html#srp
"Woods WiOn Outdoor Wifi Yard Stake with 3-Outlets, Wireless Switch, Programmable, Black",69.99,39.93,43.0,electrical,052-7299-4,3.2,https://www.canadiantire.ca/en/pdp/woods-wion-outdoor-wifi-yard-stake-with-3-outlets-wireless-switch-programmable-black-0527299p.html#srp
"Conros Seal-It Invisible Tape with Dispenser For Gift Wrapping/Office/Home, 19-mm x 25.4-m, 6-pk",10.49,6.93,34.0,paint,067-1084-6,4.8,https://www.canadiantire.ca/en/pdp/conros-seal-it-invisible-tape-with-dispenser-for-gift-wrapping-office-home-19-mm-x-25-4-m-6-pk-0671084p.html#srp
"Philips Sonicare Daily Clean 2100 Rechargeable Electric Toothbrush with SimplyClean Brush Head, White/Mint",39.99,24.93,38.0,personal-garment-care,043-9140-0,4.5,https://www.canadiantire.ca/en/pdp/philips-sonicare-daily-clean-2100-rechargeable-electric-toothbrush-with-simplyclean-brush-head-white-mint-0439140p.html#srp
"Whiskas Seafood Selections Wet Cat Food, 1.2-kg, 12-Pk",16.99,8.93,47.0,pet-care,142-6072-4,4.6,https://www.canadiantire.ca/en/pdp/whiskas-seafood-selections-wet-cat-food-1-2-kg-12-pk-1426072p.html#srp
Primos Exclusive 20MP AutoPilot Trail/Game Camera No Glo,99.99,64.93,35.0,hunting,375-0933-8,3.3,https://www.canadiantire.ca/en/pdp/primos-exclusive-20mp-autopilot-trail-game-camera-no-glo-3750933p.html#srp
Outbound Mens Waterproof Rain Boots with Cushioned Insole,49.99,24.93,50.0,footwear-apparel,187-3500X,2.5,https://www.canadiantire.ca/en/pdp/outbound-men-s-waterproof-rain-boots-with-cushioned-insole-1873500p.html#srp
"Comfyland Ultra-Soft Fleece Pet Bed, Washable, Assorted Sizes, Beige",26.99,14.93,45.0,pet-care,042-6661X,4.3,https://www.canadiantire.ca/en/pdp/comfyland-ultra-soft-fleece-pet-bed-washable-assorted-sizes-beige-0426661p.html#srp
