Product Name,Original Price,Sale Price,Percentage Off,Product Category,Product Code,Rating,Link
"Keurig 48-pk Tim Hortons Original Blend Medium Roast K-Cup® Coffee Pods, 504-g, 48-pk",35.99,32.99,8.0,food-drink,153-2366-4,4.6,https://www.canadiantire.ca/en/pdp/keurig-48-pk-tim-horton-s-original-blend-medium-roast-k-cup-coffee-pods-504-g-48-pk-1532366p.html#srp
"MASTER Chef Bakeware Set, 7-pc",129.99,49.99,62.0,kitchen,142-5488-2,4.7,https://www.canadiantire.ca/en/pdp/master-chef-bakeware-set-7-pc-1425488p.html#srp
"Mr. Clean Disinfectant Multi-Surface Cleaner, Summer Citrus, 3.78-L",15.99,14.39,10.0,cleaning,053-2910-6,4.6,https://www.canadiantire.ca/en/pdp/mr-clean-disinfectant-multi-surface-cleaner-summer-citrus-3-78-l-0532910p.html#srp
"type A Transparent Storage Box with Lid and Snap-In Wheels, 80-L",24.99,12.49,50.0,home-organization,142-1282-4,4.1,https://www.canadiantire.ca/en/pdp/type-a-transparent-storage-box-with-lid-and-snap-in-wheels-80-l-1421282p.html#srp
"Keurig Tim Hortons Dark Roast K-Cup® Coffee Pods, 504-g, 48-pk",35.99,32.99,8.0,food-drink,153-2401-0,4.3,https://www.canadiantire.ca/en/pdp/keurig-tim-hortons-dark-roast-k-cup-coffee-pods-504-g-48-pk-1532401p.html#srp
"type A Restore Stackable Storage Box with Lid, 68-L, Red",15.99,7.99,50.0,home-organization,142-4911-0,4.0,https://www.canadiantire.ca/en/pdp/type-a-restore-stackable-storage-box-with-lid-68-l-red-1424911p.html#srp
"Quaker State High Mileage 5W20 Synthetic Engine/Motor Oil, 5-L",67.99,36.99,46.0,auto-maintenance,028-9640-8,4.8,https://www.canadiantire.ca/en/pdp/quaker-state-high-mileage-5w20-synthetic-engine-motor-oil-5-l-0289640p.html#srp
"Mobil 1™ 5W20 Synthetic Engine/Motor Oil, 4.73-L",65.99,35.99,45.0,auto-maintenance,028-9452-6,4.7,https://www.canadiantire.ca/en/pdp/mobil-1-5w20-synthetic-engine-motor-oil-4-73-l-0289452p.html#srp
"Tide Free & Gentle Coldwater Clean Laundry Detergent Pods, Unscented, 112-pk",34.99,31.49,10.0,home-essentials,153-1741-6,4.0,https://www.canadiantire.ca/en/pdp/tide-free-gentle-coldwater-clean-laundry-detergent-pods-unscented-112-pk-1531741p.html#srp
"Quaker State High Mileage 0W20 Synthetic Engine/Motor Oil, 5-L",67.99,36.99,46.0,auto-maintenance,028-9639-4,4.8,https://www.canadiantire.ca/en/pdp/quaker-state-high-mileage-0w20-synthetic-engine-motor-oil-5-l-0289639p.html#srp
"Gain Flings Laundry Detergent with Oxi Boost & Febreze, Original Scent, 81-pk",25.99,24.99,4.0,home-essentials,153-1584-0,4.4,https://www.canadiantire.ca/en/pdp/gain-flings-laundry-detergent-with-oxi-boost-febreze-original-scent-81-pk-1531584p.html#srp
"Mr. Clean Antibacterial Multi-Surface Cleaner, 3.8-L",15.99,14.39,10.0,cleaning,153-1787-8,4.6,https://www.canadiantire.ca/en/pdp/mr-clean-antibacterial-multi-surface-cleaner-3-8-l-1531787p.html#srp
"Simplicité Zip-Top Plastic Sandwich Bags, 550-mL, 400-pk",13.99,6.99,50.0,home-essentials,153-1027-8,4.5,https://www.canadiantire.ca/en/pdp/simplicite-zip-top-plastic-sandwich-bags-550-ml-400-pk-1531027p.html#srp
"PADERNO Richmond Satin Stainless Steel Flatware Set, Serves 4, 20-pc",129.99,49.99,62.0,kitchen,142-3403-6,4.4,https://www.canadiantire.ca/en/pdp/paderno-richmond-satin-stainless-steel-flatware-set-serves-4-20-pc-1423403p.html#srp
"Mobil 1™ High Mileage 5W20 Synthetic Engine/Motor Oil, 4.73-L",69.99,37.99,46.0,auto-maintenance,028-9465-6,4.7,https://www.canadiantire.ca/en/pdp/mobil-1-high-mileage-5w20-synthetic-engine-motor-oil-4-73-l-0289465p.html#srp
"Duracell Coppertop 24-pk AA Alkaline Batteries, Long Lasting, All Purpose",25.99,20.49,21.0,hardware,065-0024-0,4.7,https://www.canadiantire.ca/en/pdp/duracell-coppertop-24-pk-aa-alkaline-batteries-long-lasting-all-purpose-0650024p.html#srp
"PADERNO Laurier 20pc Stainless Steel Flatware Set, Serves 4",129.99,49.99,62.0,kitchen,142-2871-6,4.8,https://www.canadiantire.ca/en/pdp/paderno-laurier-20pc-stainless-steel-flatware-set-serves-4-1422871p.html#srp
"Keurig Tim Hortons 100% Colombian Dark Medium Roast K-Cup® Coffee Pods, 504-g, 48-pk",35.99,32.99,8.0,food-drink,153-4003-6,4.9,https://www.canadiantire.ca/en/pdp/keurig-tim-horton-s-100-colombian-dark-medium-roast-k-cup-coffee-pods-504-g-48-pk-1534003p.html#srp
"Purina Cat Chow® Advanced Nutrition Dry Cat Food, 8-kg",26.99,24.29,10.0,pet-care,042-5248-2,4.7,https://www.canadiantire.ca/en/pdp/purina-cat-chow-advanced-nutrition-dry-cat-food-8-kg-0425248p.html#srp
"PADERNO Classic Frying Pan, PFOA-Free, Non-Stick, Maroon, 26cm",99.99,29.99,70.0,kitchen,142-4520-0,4.6,https://www.canadiantire.ca/en/pdp/paderno-classic-frying-pan-pfoa-free-non-stick-maroon-26cm-1424520p.html#srp
"type A Stackable Storage Box with Lid and Wheels, 80-L, Grey",19.99,11.49,43.0,home-organization,142-2030-8,3.9,https://www.canadiantire.ca/en/pdp/type-a-stackable-storage-box-with-lid-and-wheels-80-l-grey-1422030p.html#srp
"Mobil 1™ High Mileage 0W20 Synthetic Engine/Motor Oil, 4.73-L",69.99,37.99,46.0,auto-maintenance,028-9466-4,4.7,https://www.canadiantire.ca/en/pdp/mobil-1-high-mileage-0w20-synthetic-engine-motor-oil-4-73-l-0289466p.html#srp
"PADERNO Classic Frying Pan PFOA-Free Non-Stick, Maroon, 20cm",84.99,24.99,71.0,kitchen,142-3815-6,4.6,https://www.canadiantire.ca/en/pdp/paderno-classic-frying-pan-pfoa-free-non-stick-maroon-20cm-1423815p.html#srp
"PADERNO Richmond Polished Stainless Steel Flatware Set, Serves 4, 20-pc",129.99,49.99,62.0,kitchen,142-3402-8,4.7,https://www.canadiantire.ca/en/pdp/paderno-richmond-polished-stainless-steel-flatware-set-serves-4-20-pc-1423402p.html#srp
"FoodSaver® Heat-Seal Vacuum Sealer Roll, 8-in x 20-ft, 2-pk",26.99,19.99,26.0,kitchen,043-0623-6,4.8,https://www.canadiantire.ca/en/pdp/foodsaver-heat-seal-vacuum-sealer-roll-8-in-x-20-ft-2-pk-0430623p.html#srp
"Purina Cat Chow® Advanced Nutrition Indoor Weight & Hairball Control Dry Cat Food, 8-kg",26.99,24.29,10.0,pet-care,042-7921-6,4.8,https://www.canadiantire.ca/en/pdp/purina-cat-chow-advanced-nutrition-indoor-weight-hairball-control-dry-cat-food-8-kg-0427921p.html#srp
"Purina® Tidy Cats® Lightweight Multi-Cat Clumping Cat Litter with Glade® Clear Springs™, 5.44-kg",24.99,22.49,10.0,pet-care,142-5675-6,4.3,https://www.canadiantire.ca/en/pdp/purina-tidy-cats-lightweight-multi-cat-clumping-cat-litter-with-glade-clear-springs-5-44-kg-1425675p.html#srp
"Energizer Max 12-pk AAA Alkaline Batteries, Long Lasting, All Purpose",19.99,16.99,15.0,hardware,065-1076-0,4.9,https://www.canadiantire.ca/en/pdp/energizer-max-12-pk-aaa-alkaline-batteries-long-lasting-all-purpose-0651076p.html#srp
"Mobil 1™ Advanced Fuel Economy 0W16 Synthetic Engine/Motor Oil, 4.73-L",65.99,35.99,45.0,auto-maintenance,028-9447-0,4.7,https://www.canadiantire.ca/en/pdp/mobil-1-advanced-fuel-economy-0w16-synthetic-engine-motor-oil-4-73-l-0289447p.html#srp
"Fantastik All-Purpose Disinfectant Cleaner, Industrial Size Refill, 3.8-L",14.99,13.49,10.0,cleaning,053-4033-2,4.8,https://www.canadiantire.ca/en/pdp/fantastik-all-purpose-disinfectant-cleaner-industrial-size-refill-3-8-l-0534033p.html#srp
"Glad Large Easy-Tie Flap Indoor/Outdoor Garbage Bags, 30-pk, Black, 90-L",12.99,10.39,20.0,cleaning,042-9747-0,4.5,https://www.canadiantire.ca/en/pdp/glad-large-easy-tie-flap-indoor-outdoor-garbage-bags-30-pk-black-90-l-0429747p.html#srp
"PADERNO Classic Jumbo Cooker, PFOA-Free, Non-Stick, Red, 3qt",159.99,44.99,72.0,kitchen,142-4522-6,4.4,https://www.canadiantire.ca/en/pdp/paderno-classic-jumbo-cooker-pfoa-free-non-stick-red-3qt-1424522p.html#srp
"IAMS Large Breed Adult Dry Dog Food, 13.6-kg",53.99,48.59,10.0,pet-care,042-6102-2,4.6,https://www.canadiantire.ca/en/pdp/iams-large-breed-adult-dry-dog-food-13-6-kg-0426102p.html#srp
"Tide Plus Hygienic Clean 10X Heavy Duty Laundry Detergent, Fresh Scent, 100-Load, 4.5-L",27.99,24.99,11.0,home-essentials,153-1578-6,4.7,https://www.canadiantire.ca/en/pdp/tide-plus-hygienic-clean-10x-heavy-duty-laundry-detergent-fresh-scent-100-load-4-5-l-1531578p.html#srp
"Duracell Coppertop 16-pk AAA Alkaline Batteries, Long Lasting, All Purpose",24.99,18.49,26.0,hardware,065-0025-8,4.6,https://www.canadiantire.ca/en/pdp/duracell-coppertop-16-pk-aaa-alkaline-batteries-long-lasting-all-purpose-0650025p.html#srp
"Mobil 1™ Extended Performance High Mileage 5W20 Synthetic Engine/Motor Oil, 4.73-L",74.99,40.99,45.0,auto-maintenance,028-9468-0,4.9,https://www.canadiantire.ca/en/pdp/mobil-1-extended-performance-high-mileage-5w20-synthetic-engine-motor-oil-4-73-l-0289468p.html#srp
"Mobil 1™ ESP Emission System Protection 5W30 Synthetic Engine/Motor Oil, 4.73-L",74.99,40.99,45.0,auto-maintenance,028-9448-8,4.8,https://www.canadiantire.ca/en/pdp/mobil-1-esp-emission-system-protection-5w30-synthetic-engine-motor-oil-4-73-l-0289448p.html#srp
"Heritage The Rock Traditional Non-Stick Frying Pan, Dishwasher & Oven Safe, Black, 33cm",159.99,34.99,78.0,kitchen,142-9875-6,4.6,https://www.canadiantire.ca/en/pdp/heritage-the-rock-traditional-non-stick-frying-pan-dishwasher-oven-safe-black-33cm-1429875p.html#srp
"Energizer Max 20-pk AA Alkaline Batteries, Long Lasting, All Purpose",19.99,16.99,15.0,hardware,065-1015-6,4.8,https://www.canadiantire.ca/en/pdp/energizer-max-20-pk-aa-alkaline-batteries-long-lasting-all-purpose-0651015p.html#srp
"PADERNO Classic Frying Pan, PFOA-Free, Non-Stick, Maroon, 30cm",119.99,34.99,71.0,kitchen,142-4521-8,4.3,https://www.canadiantire.ca/en/pdp/paderno-classic-frying-pan-pfoa-free-non-stick-maroon-30cm-1424521p.html#srp
Libman Extra Large Precision Indoor / Outdoor Angle Broom with Dustpan,19.99,15.99,20.0,cleaning,142-2219-2,4.3,https://www.canadiantire.ca/en/pdp/libman-extra-large-precision-indoor-outdoor-angle-broom-with-dustpan-1422219p.html#srp
"NOMA 25-ft 14/3 Outdoor Extension Cord with 3 Grounded Outlets and Lighted End, Red",44.99,29.24,35.0,electrical,052-2317X,4.6,https://www.canadiantire.ca/en/pdp/noma-25-ft-14-3-outdoor-extension-cord-with-3-grounded-outlets-and-lighted-end-red-0522317p.html#srp
"Glad Tall ForceFlex Drawstring Recycling Bags, 50-pk, Blue, 45-L",12.99,10.39,20.0,cleaning,142-4701-0,4.4,https://www.canadiantire.ca/en/pdp/glad-tall-forceflex-drawstring-recycling-bags-50-pk-blue-45-l-1424701p.html#srp
"Quaker State 5W30 Synthetic-Blend Engine/Motor Oil, 5-L",50.99,27.99,45.0,auto-maintenance,028-9004-4,4.7,https://www.canadiantire.ca/en/pdp/quaker-state-5w30-synthetic-blend-engine-motor-oil-5-l-0289004p.html#srp
"The Rock Copper Frying Pan, Non-stick, Dishwasher & Oven Safe, 2-pk, 24cm & 28cm",31.99,,,kitchen,399-3183-8,4.5,https://www.canadiantire.ca/en/pdp/the-rock-copper-frying-pan-non-stick-dishwasher-oven-safe-2-pk-24cm-28cm-3993183p.html#srp
"Certified Premium Heavy Duty Poly Tarp, Waterproof, 12-ft x 16-ft",59.99,24.99,58.0,automotive-outdoor-adventure,040-5079-8,4.3,https://www.canadiantire.ca/en/pdp/certified-premium-heavy-duty-poly-tarp-waterproof-12-ft-x-16-ft-0405079p.html#srp
"Mobil 1™ High Mileage 5W30 Synthetic Engine/Motor Oil, 4.73-L",69.99,37.99,46.0,auto-maintenance,028-9464-8,4.7,https://www.canadiantire.ca/en/pdp/mobil-1-high-mileage-5w30-synthetic-engine-motor-oil-4-73-l-0289464p.html#srp
"Febreze Plug Scented Oil Refill, 3-pk",15.99,14.39,10.0,cleaning,153-1639X,4.5,https://www.canadiantire.ca/en/pdp/febreze-plug-scented-oil-refill-3-pk-1531639p.html#srp
"Mobil Synthetic Engine/Motor Oil, 4.73-L",65.99,35.99,45.0,auto-maintenance,028-9455-0,4.7,https://www.canadiantire.ca/en/pdp/mobil-synthetic-engine-motor-oil-4-73-l-0289455p.html#srp
"For Living Ergonomic Ventilated Memory Foam Pillow with Coolmax Cover, Standard, 25-in x 16-in",79.99,24.99,69.0,home-decor,046-6873-8,4.1,https://www.canadiantire.ca/en/pdp/for-living-ergonomic-ventilated-memory-foam-pillow-with-coolmax-cover-standard-25-in-x-16-in-0466873p.html#srp
"Mobil 1™ 5W30 Synthetic Engine/Motor Oil, 4.73-L",65.99,35.99,45.0,auto-maintenance,028-9450-0,4.7,https://www.canadiantire.ca/en/pdp/mobil-1-5w30-synthetic-engine-motor-oil-4-73-l-0289450p.html#srp
